,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,BaroPress,airRH,airT,date,CRNS,Bare
2242,2242,2023-08-16 18:00:00,11890.0,0.0091708390738664,109.04127658827184,2665.55543514449,0.0463553909551798,2546.030768657101,0.058929443359375,8.693609586399179e-06,797.7,0.072,0.072,0.0438406204335659,0.0309999999999999,23.8,797.7,33.4,27.2,2023-08-16,0.058929443359375,964.9382684341645
2243,2243,2023-08-16 18:30:00,12162.0,0.0090677074574081,110.28145809699834,2720.6942147398563,0.037874890942509,2599.230118272651,0.051727294921875,8.653851399882502e-06,797.3,0.073,0.073,0.045254833995939,0.0319999999999999,25.2,797.3,32.7,27.5,2023-08-16,0.051727294921875,964.9382684341645
2244,2244,2023-08-16 19:00:00,12272.0,0.0090269768084264,110.77905939300985,2727.800006837184,0.0368302850917307,2613.2121947230903,0.049957275390625,8.120261052341446e-06,796.8,0.073,0.073,0.045254833995939,0.0319999999999999,26.5,796.8,29.2,28.4,2023-08-16,0.049957275390625,964.9382684341645
2245,2245,2023-08-16 19:30:00,12066.0,0.0091037084226477,109.8453458276681,2667.207890906,0.0460911562149952,2560.013458653623,0.056976318359375,7.754186104129805e-06,796.3,0.074,0.074,0.0466690475583121,0.0329999999999999,27.7,796.3,26.4,29.4,2023-08-16,0.056976318359375,964.9382684341645
2246,2246,2023-08-16 20:00:00,12554.0,0.0089250146537704,112.0446339634344,2754.3555551105896,0.0330179646185059,2652.576266083994,0.045135498046875,7.105551205972263e-06,796.0,0.074,0.074,0.0466690475583121,0.0329999999999999,28.6,796.0,23.8,29.7,2023-08-16,0.045135498046875,964.9382684341645
2247,2247,2023-08-16 20:30:00,12392.0,0.0089831633635091,111.31936040060596,2708.281516513826,0.0397252883532992,2612.6360715219525,0.050018310546875,6.7794055345112045e-06,795.7,0.075,0.075,0.0480832611206852,0.0339999999999999,29.5,795.7,22.1,30.2,2023-08-16,0.050018310546875,964.9382684341645
2248,2248,2023-08-16 21:00:00,12518.0,0.0089378389809542,111.88386836358492,2727.920489622501,0.0368126640395857,2639.215910008846,0.046722412109375,6.224111464405908e-06,795.3,0.075,0.075,0.0480832611206852,0.0339999999999999,30.2,795.3,20.4,30.1,2023-08-16,0.046722412109375,964.9382684341645
2249,2249,2023-08-16 21:30:00,12554.0,0.0089250146537704,112.0446339634344,2772.8257249907165,0.0304485007158364,2649.375636699683,0.045501708984375,8.628873589922682e-06,795.3,0.075,0.075,0.0480832611206852,0.0339999999999999,30.4,795.3,29.7,29.2,2023-08-16,0.045501708984375,964.9382684341645
2250,2250,2023-08-16 22:00:00,12550.0,0.008926436853549,112.0267825120404,2765.983926003284,0.0313926438907073,2646.604577915958,0.045806884765625,8.353075055982203e-06,795.2,0.075,0.075,0.0480832611206852,0.0339999999999999,29.6,795.2,34.5,25.9,2023-08-16,0.045806884765625,964.9382684341645
2251,2251,2023-08-16 22:30:00,12474.0,0.0089535884891708,111.6870628139177,2752.2167085051888,0.033319787060602,2630.577331069614,0.047760009765625,8.563067266704652e-06,795.2,0.074,0.074,0.0466690475583121,0.0329999999999999,28.3,795.2,37.2,25.0,2023-08-16,0.047760009765625,964.9382684341645
