,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,BaroPress,airRH,airT,date,CRNS
19162,19162,2024-08-03 06:00:00,18982.0,0.0072582014111771,137.77517918696387,2580.2427709229178,0.1111514303766574,2519.47778003602,0.108795166015625,4.466312892033177e-06,729.5,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,16.4,18.2,17.9,729.5,40.4,12.6,2024-08-03,0.108795166015625
19163,19163,2024-08-03 06:30:00,18976.0,0.007259348801738,137.7534028617805,2572.050192374944,0.1133436241138731,2509.50587678002,0.111053466796875,4.615363037359383e-06,729.5,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,16.0,17.6,17.6,729.5,42.8,12.2,2024-08-03,0.111053466796875
19164,19164,2024-08-03 07:00:00,19016.0,0.007251709792149,137.8985134075056,2582.9277550816446,0.1104397111246469,2516.6872638360646,0.109405517578125,4.87416844132346e-06,729.6,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,15.4,17.3,17.6,729.6,45.2,12.2,2024-08-03,0.109405517578125
19165,19165,2024-08-03 07:30:00,19010.0,0.0072528541063541,137.87675656179326,2590.2034682060016,0.1085275653013785,2514.002251137657,0.110015869140625,5.613096204568672e-06,729.5,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,15.1,17.0,17.3,729.5,46.0,14.2,2024-08-03,0.110015869140625
19166,19166,2024-08-03 08:00:00,19082.0,0.007239157978531,138.13761254633005,2608.715034172642,0.1037682923619835,2528.1373744408947,0.106842041015625,5.902285607605663e-06,729.5,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,14.8,16.4,17.0,729.5,47.2,14.6,2024-08-03,0.106842041015625
19167,19167,2024-08-03 08:30:00,19012.0,0.0072524726080972,137.88400922514546,2597.2358263584324,0.1067018930301062,2516.970039152592,0.109344482421875,5.90552705695e-06,729.4,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,14.5,16.0,17.0,729.4,49.6,13.8,2024-08-03,0.109344482421875
19168,19168,2024-08-03 09:00:00,18722.0,0.0073084264305907,136.82835963352042,2553.6329474096874,0.1183877313173327,2474.454708447892,0.119415283203125,5.925603242895504e-06,729.3,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,14.5,16.0,16.7,729.3,53.6,12.6,2024-08-03,0.119415283203125
19169,19169,2024-08-03 09:30:00,18658.0,0.0073209502507321,136.5942897781602,2531.2970588219587,0.1247299806837358,2455.1410687299594,0.124237060546875,5.744256942206362e-06,729.2,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,14.2,15.7,16.4,729.2,56.0,11.4,2024-08-03,0.124237060546875
19170,19170,2024-08-03 10:00:00,18672.0,0.0073182051638983,136.64552682030978,2534.1146057861965,0.1239158898476106,2456.9832798438097,0.123748779296875,5.813461978108308e-06,729.2,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,13.8,15.4,16.4,729.2,59.6,10.6,2024-08-03,0.123748779296875
19171,19171,2024-08-03 10:30:00,19116.0,0.0072327172767124,138.26062346163494,2594.9419825859154,0.1072949909345142,2517.2996846187684,0.109283447265625,5.7117566951218925e-06,729.3,0.008,0.03,0.058,0.0234953006879188,0.0645071211997774,0.0330077542097582,13.2,15.1,16.0,729.3,61.6,9.8,2024-08-03,0.109283447265625
