,Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT,date,CRNS
3826,3826,2023-09-18 18:00:00,10242.0,0.0098811527788125,101.202766760598,2098.673101613007,0.2213229389996125,2038.2988179915728,0.195709228515625,5.485173613491473e-06,784.4,0.137,0.111,0.117,0.054,0.1227673614622078,0.0038851538108619,0.0020808172031483,16.7,11.8,10.1,11.6,784.4,29.1,21.5,2023-09-18,0.195709228515625
3827,3827,2023-09-18 18:30:00,10210.0,0.009896625331298,101.04454463255304,2122.5695554778727,0.208940507129219,2054.8885666619985,0.188568115234375,6.099365508536444e-06,784.3,0.136,0.112,0.117,0.054,0.1226371595647871,0.0040393331502079,0.0021633928326599,16.6,12.6,10.2,11.6,784.3,33.7,20.8,2023-09-18,0.188568115234375
3828,3828,2023-09-18 19:00:00,10284.0,0.0098609547523043,101.41005867269774,2127.9157565692726,0.206263807132715,2068.226338215739,0.183013916015625,5.344480817767303e-06,784.2,0.136,0.112,0.117,0.054,0.1226371595647871,0.0040393331502079,0.0021633928326599,15.8,13.0,10.4,11.6,784.2,34.0,18.4,2023-09-18,0.183013916015625
3829,3829,2023-09-18 19:30:00,10498.0,0.0097599302909228,102.45974819410792,2171.4049995121795,0.1856590448365073,2111.2641091587734,0.166229248046875,5.275134394121309e-06,784.2,0.134,0.112,0.117,0.054,0.121705538806457,0.0051425173271351,0.0027542380669396,15.3,13.1,10.6,11.5,784.2,36.7,16.9,2023-09-18,0.166229248046875
3830,3830,2023-09-18 20:00:00,10484.0,0.0097664446670509,102.39140588936164,2190.066762597736,0.1774093436593521,2124.7103397082105,0.161285400390625,5.696325305923875e-06,785.1,0.134,0.112,0.118,0.054,0.1218797517672836,0.0049362220293102,0.002643750084857,14.4,13.1,10.8,11.5,785.1,45.0,14.8,2023-09-18,0.161285400390625
3831,3831,2023-09-18 20:30:00,10258.0,0.0098734436668304,101.28178513434683,2176.3958560065835,0.1834197828978974,2082.037216231101,0.177398681640625,8.392656021911075e-06,785.3,0.133,0.112,0.118,0.054,0.1214139413881186,0.0054878141177738,0.0029391727019968,13.5,12.9,10.9,11.5,785.3,80.8,11.6,2023-09-18,0.177398681640625
3832,3832,2023-09-18 21:00:00,9922.0,0.0100392296431678,99.60923651951158,2148.4000924082766,0.1963066822799024,2064.969583919526,0.184356689453125,7.481995998826038e-06,786.7,0.133,0.112,0.118,0.054,0.1214139413881186,0.0054878141177738,0.0029391727019968,12.9,12.7,11.1,11.5,786.7,73.4,11.3,2023-09-18,0.184356689453125
3833,3833,2023-09-18 21:30:00,9940.0,0.0100301356785629,99.69954864491612,2157.871828887834,0.1918565480302219,2061.2474613567724,0.185882568359375,8.680860367373406e-06,786.7,0.132,0.112,0.118,0.054,0.1209481310089536,0.0060394062062374,0.0032345953191366,12.4,12.5,11.2,11.5,786.7,90.7,10.3,2023-09-18,0.185882568359375
3834,3834,2023-09-18 22:00:00,10028.0,0.0099860293315676,100.13990213696036,2171.825606978572,0.1854693818223451,2074.810623671025,0.180328369140625,8.658977086669384e-06,786.4,0.132,0.112,0.118,0.054,0.1209481310089536,0.0060394062062374,0.0032345953191366,12.5,12.2,11.3,11.5,786.4,80.8,12.1,2023-09-18,0.180328369140625
3835,3835,2023-09-18 22:30:00,9970.0,0.010015033834597,99.84988733093292,2146.7335363372017,0.1970995417459933,2056.615701963894,0.187835693359375,8.114538769188992e-06,786.0,0.133,0.112,0.123,0.054,0.1222850061922518,0.0044563376286492,0.0023867327915837,13.3,12.2,11.4,11.5,786.0,73.4,12.6,2023-09-18,0.187835693359375
